recommendation_id,evidence_key,lead_id,priority_band,priority_score,policy_rank,sla_minutes,action_owner_proposed,recommended_at,expires_at,recommended_action,action_id,action_taken,action_owner,action_at,action_cost,followed_recommendation,separacion_14d,separacion_observed_at,minuta_60d,minuta_observed_at,minutes_to_action,within_sla
c20acf57-a9a5-52e2-96e1-9c71ee28cca7,edce847be00a35ff7febced6ad27d20a,222255,A,1.0274561515662817,62,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
dddb0b66-7be7-564a-8b2c-6e29b0fb4b62,79b3f10555a0ef3c5ccbc2fb02dd089d,222882,A,9.757854477261962,63,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
eb066e42-fdeb-5ecd-99c7-67df473e7c79,d21a45e1d715a9c07790c80761877eea,222597,A,9.073681102491488,64,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
a96fb812-19b1-54df-b401-e86841fa0e3d,2ef88d5a56c054f689623024232d399f,195449,A,7.139379330195003,65,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
4057cc97-dec0-5efd-a7e8-516a83d54b54,522947894b403722b69b46b48fd243ea,222904,A,3.0904610076188774,66,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
82f25552-5a70-58c4-95c8-ee7375df899f,6324db3edfb54ba5da29770a2194fca1,222081,A,1.7827300494953993,67,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
2e2efe89-47b2-5e62-b2e3-8bf7ea3e641b,eef4c574efea6e0d88e3310d90171f6a,221984,A,1.5078694400364805,68,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
2605bb53-b2ad-5c40-90ad-56a97e9a5636,9ea8ec222f3d7e7ee4e9505b0a762de7,222215,A,0.9877327267757865,69,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
a39cab88-57e4-5d20-ae5e-e99416b83027,202a9c6fe84a836f8a76dc50134fbb0f,222454,A,8.282630297730725,71,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
adccad5c-3a2d-59e5-b78f-2a32b66e19d4,8dbaab89dcef776b416a10f5e81fc66c,222932,A,3.0453248585911084,73,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
077a00b3-1de6-506b-ab90-0e140b729a7f,19f2afd026c5614bf4108ff632c3f51a,222124,A,1.631426092999397,74,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
